DateTime,AddedIPs,RemovedIPs
1536680913,9,18
1536682829,13,14
1536684737,12,21
1536686683,16,18
1536688590,8,17
1536692429,6,33
1536694341,5,15
1536696275,4,0
1536698183,11,3
1536700108,13,5
1536702016,10,8
1536703940,16,11
1536705861,14,6
1536707781,12,13
1536709700,17,13
1536711614,10,17
1536713559,12,14
1536715466,16,10
1536717380,19,15
1536719291,15,15
1536721251,17,8
1536723139,20,0
1536725084,14,18
1536726986,20,12
1536728915,16,16
1536732754,19,19
1536734656,29,19
1536736605,20,7
1536738505,33,8
1536740414,11,7
1536742337,15,8
1536744274,12,9
1536748100,10,30
1536750031,15,18
1536751947,16,24
1536753863,8,0
1536759615,13,18
1536763470,12,44
1536765373,16,19
1536767306,10,6
1536774978,11,58
1536778837,12,16
1536782670,7,18
1536784572,22,11
1536786519,7,6
1536788427,13,7
1536790343,9,18
1536792253,16,8
1536794204,14,13
1536796094,16,0
1536798036,13,3
1536799954,6,16
1536801882,18,8
1536803781,10,4
1536805695,18,0
1536809555,8,20
1536813398,14,0
1536817232,26,40
1536819150,13,11
1536823232,19,28
1536825148,16,20
1536827067,16,5
1536828995,28,14
1536831142,12,22
1536834968,7,14
1536836903,8,10
1536839059,9,28
1536841002,24,13
1536842894,31,24
1536848658,25,28
1536850576,14,0
1536854428,14,19
1536856342,16,6
1536858273,9,4
1536860196,12,0
1536864012,10,18
1536865935,17,20
1536867868,25,18
1536869782,15,16
1536871951,9,18
1536873854,24,0
1536875783,17,8
1536879670,7,22
1536881536,8,0
1536887323,11,12
1536889229,8,1
1536891151,13,5
1536895017,19,18
1536902678,25,26
1536904583,18,17
1536908439,26,7
1536910598,17,26
1536914438,23,12
1536916347,11,0
1536918259,4,33
1536920198,12,0
1536922095,8,18
1536924041,7,11
1536925941,14,16
1536928114,21,23
1536931953,15,31
1536933864,8,0
1536941790,12,34
1536945616,20,34
1536947560,13,12
1536949456,18,4
1536955236,9,27
1536957145,6,0
1536959081,10,10
1536960996,4,3
1536962902,8,6
1536965318,19,2
1536967459,24,0
1536969384,4,21
1536971297,17,17
1536975142,9,12
1536977078,11,4
1536978984,9,0
1536980925,12,0
1536982818,12,17
1536986653,13,25
1536990492,15,23
1536992657,27,6
1536994580,24,0
1536996500,18,46
1536998436,21,19
1537000347,20,15
1537009944,17,77
1537011862,18,0
1537017861,15,21
1537021695,21,37
1537025545,20,27
1537031558,20,37
1537035401,10,30
1537037292,27,4
1537039239,17,7
1537041142,12,22
1537043070,15,7
1537044975,15,9
1537048839,9,10
1537050759,12,5
1537052664,20,4
1537056523,15,19
1537058437,14,18
1537060344,13,0
1537062273,20,4
1537064182,15,7
1537066096,16,14
1537068025,24,0
1537069944,14,10
1537071872,12,16
1537075703,31,28
1537077640,15,13
1537083394,9,26
1537087226,18,34
1537089147,13,12
1537091315,13,15
1537093242,6,19
1537097076,6,20
1537098984,5,19
1537100918,6,21
1537104757,12,24
1537106667,6,7
1537108605,4,20
1537110517,6,8
1537112434,16,6
1537114388,17,6
1537116264,22,6
1537118193,18,1
1537120345,5,8
1537122250,25,10
1537128284,6,37
1537130170,12,11
1537132107,7,0
1537134014,10,7
1537136195,11,4
1537140017,15,23
1537142174,10,8
1537144095,12,0
1537149856,11,22
1537153942,16,16
1537155871,10,9
1537157783,19,8
1537159709,7,15
1537161623,9,9
1537163547,22,16
1537165460,16,12
1537167388,4,0
1537169291,21,10
1537171247,14,8
1537173153,14,7
1537175074,13,15
1537176981,3,9
1537178915,5,0
1537180822,3,6
1537182744,7,4
1537184656,20,2
1537186604,10,6
1537188500,8,8
1537190432,20,9
1537192339,13,13
1537194516,15,0
1537196663,6,20
1537198585,4,9
1537200542,8,16
1537202415,10,19
1537204338,11,12
1537206260,17,10
1537210101,12,26
1537212014,4,12
1537213941,6,19
1537215853,19,17
1537217784,5,19
1537219694,10,17
1537221636,4,20
1537223539,9,9
1537225458,13,15
1537227617,8,8
1537229543,16,9
1537231472,13,0
1537235308,15,21
1537237236,10,10
1537242970,20,26
1537244908,10,14
1537246832,13,9
1537248758,19,14
1537250665,7,22
1537252577,19,22
1537254517,20,16
1537256435,17,0
1537258356,11,17
1537260277,27,0
1537262197,8,18
1537264115,5,0
1537266030,8,5
1537267939,7,5
1537270106,21,1
1537272073,15,6
1537275870,9,11
1537278052,6,5
1537279956,10,5
1537283791,8,12
1537285698,13,13
1537288364,9,27
1537290510,6,9
1537292424,8,15
1537296276,17,31
1537298175,7,0
1537300100,9,10
1537302019,8,12
1537303944,4,0
1537305855,13,18
1537307786,6,0
1537309689,19,9
1537311637,4,27
1537313542,5,0
1537315472,4,7
1537317367,9,15
1537319310,9,15
1537321260,16,9
1537325052,15,26
1537330815,10,32
1537332729,10,0
1537334654,11,12
1537338814,16,55
1537340677,15,19
1537342572,14,15
1537346421,18,42
1537348353,5,10
1537352190,9,0
1537354100,11,0
1537356029,23,4
1537361785,18,18
1537363709,22,5
1537365630,4,0
1537367544,10,6
1537369482,8,0
1537371628,10,14
1537373578,12,12
1537375456,24,12
1537377396,6,3
1537379559,15,9
1537381453,22,10
1537389383,5,28
1537391318,3,6
1537393213,7,9
1537395142,5,4
1537397060,13,6
1537398984,9,6
1537400895,16,13
1537402814,18,0
1537404748,8,8
1537406666,12,12
1537408584,6,0
1537410494,15,9
1537412439,17,11
1537414348,11,0
1537416267,22,13
1537418172,7,15
1537420095,7,13
1537422012,23,14
1537425862,23,27
1537427794,12,0
1537429697,21,22
1537431855,22,4
1537433777,7,11
1537435706,8,14
1537437635,6,0
1537439541,12,2
1537441466,5,6
1537443382,12,4
1537445304,8,20
1537449142,12,20
1537451058,23,21
1537454906,31,10
1537458738,11,9
1537460659,32,11
1537466436,8,42
1537468338,5,5
1537470262,14,20
1537472184,8,0
1537474098,9,18
1537476018,14,0
1537477943,11,7
1537481782,6,16
1537483698,21,10
1537485633,8,11
1537487558,3,5
1537489455,15,5
1537491383,7,5
1537493303,13,4
1537495232,7,7
1537497641,7,6
1537499536,18,15
1537501468,20,11
1537503377,10,11
1537505305,11,13
1537507245,17,1
1537509151,9,13
1537511071,17,12
1537512992,7,16
1537514907,19,13
1537516821,10,17
1537518753,9,11
1537520676,4,14
1537522582,2,5
1537524751,5,12
1537526671,8,4
1537530494,9,10
1537532423,6,2
1537534341,5,15
1537538186,6,21
1537540090,24,13
1537542030,11,6
1537545864,15,12
1537547782,15,10
1537549702,6,15
1537551856,24,6
1537553787,3,10
1537555689,9,12
1537557606,10,3
1537559532,8,9
1537561450,13,6
1537563379,5,13
1537567481,6,10
1537569381,11,0
1537571294,11,11
1537575137,9,4
1537577065,20,7
1537578975,9,7
1537580914,15,12
1537582825,4,6
1537584734,9,10
1537586653,23,3
1537588579,5,1
1537592425,7,5
1537594351,12,6
1537596262,7,11
1537598178,8,2
1537600104,8,19
1537603944,9,22
1537605859,8,3
1537607782,4,9
1537609693,10,11
1537611612,7,6
1537613539,13,5
1537615456,17,1
1537617373,20,8
1537619289,19,6
1537621232,7,13
1537625063,4,14
1537626979,5,9
1537628895,6,13
1537630811,10,7
1537632770,15,7
1537634653,15,16
1537638495,29,6
1537640411,9,8
1537642331,9,7
1537644251,20,7
1537646181,5,11
1537648089,16,8
1537650019,2,8
1537653868,0,19
1537655772,3,6
1537657696,6,19
1537659613,7,16
1537661535,13,4
1537663457,13,14
1537665386,14,4
1537669259,21,17
1537676894,18,35
1537678817,21,10
1537680740,20,0
1537684582,20,27
1537686494,19,8
1537688411,13,22
1537690338,11,12
1537692256,9,8
1537694188,9,13
1537696096,3,0
1537698013,12,10
1537699932,9,9
1537701852,13,4
1537703778,3,9
1537707638,15,16
1537709538,18,5
1537711458,10,6
1537713384,15,18
1537715293,17,9
1537717211,8,7
1537719172,9,0
1537721059,12,7
1537722983,23,3
1537724895,13,17
1537726813,14,11
1537728743,15,0
1537732581,12,23
1537734742,20,10
1537736663,8,0
1537738583,7,6
1537740497,5,0
1537744333,14,23
1537746254,14,4
1537750098,9,7
1537753934,10,19
1537755851,17,10
1537757790,13,0
1537759688,23,11
1537761626,10,11
1537763541,7,15
1537765455,10,9
1537767381,18,20
1537769297,12,13
1537771210,13,8
1537773137,15,11
1537775060,13,16
1537776985,15,5
1537778892,15,21
1537780809,9,10
1537782732,4,9
1537784653,11,2
1537786587,4,0
1537790455,9,10
1537792352,12,19
1537794264,6,6
1537796193,6,13
1537800027,15,17
1537801951,14,8
1537803857,11,11
1537805802,19,12
1537809862,21,21
1537811784,7,0
1537816826,10,53
1537820672,15,21
1537824506,7,22
1537826429,10,8
1537828350,15,12
1537830263,16,7
1537832191,17,0
1537834112,19,11
1537836022,19,11
1537837950,9,6
1537839853,13,13
1537841793,7,10
1537843709,8,12
1537845640,18,9
1537847546,16,11
1537849467,16,11
1537851368,13,11
1537853297,13,16
1537855235,22,19
1537857143,11,14
1537859078,11,24
1537860990,7,6
1537862917,4,7
1537864831,5,21
1537866741,7,12
1537868651,16,2
1537870845,12,7
